"Source:","Z:\gitHub\74HCT6526\B3\B3.kicad_sch"
"Date:","18/10/2022 22:42:34"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C301","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C302","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C303","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C304","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C305","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C306","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C307","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C308","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C309","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C310","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C311","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C312","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C313","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C314","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C315","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C316","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C317","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C318","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C319","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C320","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C321","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C322","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C323","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C324","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C325","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C326","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C327","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C328","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C329","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C330","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C331","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C332","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C333","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C334","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C335","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C336","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C337","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C338","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C339","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C340","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","CONTROLBUS3","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
"","","DATABUS3","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
"","","ENABLEBUS3","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
